category	id	label	icon	terms
health-wellness	hospital-stay	Hospital stay	hospital	hospital stay;ward charge;medical admission
health-wellness	first-aid	First aid	cross	emergency kit;medical kit;urgent care supplies
health-wellness	bandages	Bandages	bandage	adhesive bandage;dressing supplies;wound care
health-wellness	eye-care	Eye care	eye	vision test;optician visit;vision care
health-wellness	hearing-care	Hearing care	ear	hearing test;ear clinic;hearing aid service
health-wellness	mental-health	Mental health	brain	mental health;psychology session;brain health
health-wellness	bone-care	Bone care	bone	bone scan;orthopaedic care;fracture clinic
health-wellness	genetic-test	Genetic test	dna	genetic test;dna screening;ancestry health test
health-wellness	lab-work	Lab work	microscope	lab work;laboratory fee;sample analysis
health-wellness	blood-test	Blood test	test-tube	blood test;test sample;clinical test
health-wellness	temperature-check	Temperature check	thermometer	thermometer;temperature check;fever supplies
health-wellness	weigh-in	Weigh-in	weight	weigh in;body weight;health scale
health-wellness	physiotherapy	Physiotherapy	person-standing	physiotherapy;physical therapy;mobility session
health-wellness	accessibility-care	Accessibility	accessibility	accessibility service;mobility support;accessible care
health-wellness	heart-scan	Heart scan	scan-heart	heart scan;cardiac scan;ecg test
health-wellness	medical-transport	Medical transport	ambulance	ambulance ride;medical transport;emergency vehicle
health-wellness	health-insurance	Health insurance	shield-plus	health insurance;medical cover;care policy
health-wellness	medical-bag	Medical bag	briefcase-medical	medical supplies;doctor bag;clinic equipment
health-wellness	medical-record	Medical record	file-heart	medical record;health file;patient document
family-education	graduation	Graduation	graduation-cap	graduation fee;degree ceremony;graduation gown
family-education	school-cost	School	school	school cost;school payment;school activity
family-education	textbooks	Textbooks	book-open-text	textbook order;study book;course reading
family-education	school-notebook	School notebook	notebook-tabs	school notebook;subject notebook;class notes
family-education	pencils	Pencils	pencil	pencil pack;drawing pencils;school pencils
family-education	pens	Pens	pen-line	pen set;writing pens;school pen
family-education	ruler-set	Ruler set	ruler	ruler set;geometry tools;measuring ruler
family-education	maths-tools	Maths tools	calculator	school calculator;maths tools;exam calculator
family-education	school-bag	School bag	backpack	school bag;student backpack;book bag
family-education	library	Library	library-big	library fee;library card;book loan
family-education	language-learning	Language learning	languages	language learning;translation class;language app
family-education	spelling	Spelling	spell-check	spelling course;writing practice;literacy lesson
family-education	building-blocks	Building blocks	blocks	building blocks;learning blocks;preschool blocks
family-education	learning-shapes	Learning shapes	shapes	shape toys;learning shapes;geometry set
family-education	study-notes	Study notes	notebook-pen	study notes;revision notebook;study journal
family-education	presentation-course	Presentation course	presentation	presentation class;public speaking;slide course
family-education	online-class	Online class	monitor-up	online class;remote learning;virtual lesson
family-education	craft-class	Craft class	scissors	craft class;school scissors;paper craft
family-education	painting-class	Painting class	paintbrush-vertical	painting class;art materials;painting lesson
family-education	music-class	Music class	music-2	music class;music tuition;theory lesson
family-education	coding-class	Coding class	binary	coding class;programming course;computer lesson
family-education	maths-class	Maths class	sigma	maths class;algebra lesson;math tutoring
family-education	science-class	Science class	flask-conical	science class;chemistry kit;lab lesson
family-education	astronomy-class	Astronomy class	telescope	astronomy class;telescope session;space lesson
family-education	geography-class	Geography class	earth	geography class;world atlas;earth science
work-services	professional-work	Professional services	briefcase	professional service;business service;consulting work
work-services	office-space	Office space	building-2	office space;workspace rent;business premises
work-services	trade-work	Trade work	hard-hat	trade worker;site labour;contractor work
work-services	construction-service	Construction	construction	construction service;building work;site service
work-services	decorating-service	Decorator	paint-bucket	decorator service;house painter;painting labour
work-services	cleaning-service	Cleaning	brush-cleaning	cleaning service;house cleaner;deep clean
work-services	maintenance-spray	Maintenance supplies	spray-can	maintenance spray;protective coating;repair aerosol
work-services	courier	Courier	package-check	courier service;signed delivery;parcel courier
work-services	postage	Postage	send	postage cost;send parcel;shipping label
work-services	mail-service	Mail service	mail	mail service;letter postage;postal charge
work-services	printing-service	Printing	printer	printing service;document printing;print shop
work-services	stamp-service	Stamp service	stamp	official stamp;notary stamp;document seal
work-services	verified-service	Verified service	badge-check	verified provider;certified service;service approval
work-services	inspection	Inspection	clipboard-check	property inspection;safety inspection;quality check
work-services	booked-service	Booked service	calendar-check	service booking;scheduled appointment;confirmed booking
work-services	hourly-service	Hourly service	clock	hourly service;labour time;time charge
work-services	phone-support	Phone support	phone-call	phone support;service call;telephone consultation
work-services	customer-support	Customer support	headset	customer support;help desk;support agent
work-services	setup-service	Setup service	settings	setup service;configuration work;installation service
work-services	security-service	Security service	shield-check	security service;protection plan;guard service
work-services	staffing-service	Staffing service	user-round-check	staffing service;temporary worker;hired assistant
work-services	business-consulting	Business consulting	briefcase-business	business consulting;corporate advice;management service
work-services	contract-service	Contract service	file-signature	contract service;signed contract;agreement fee
work-services	scheduled-maintenance	Scheduled maintenance	calendar-clock	scheduled maintenance;service window;maintenance visit
work-services	admin-service	Admin service	clipboard-list	admin service;office administration;clerical help
tech-connectivity	sim-card	SIM card	card-sim	sim;mobile chip;mobile sim
tech-connectivity	smartphone	Smartphone	smartphone	smartphone;mobile handset;new phone device
tech-connectivity	telephone	Telephone	phone	telephone;landline phone;home phone
tech-connectivity	internet-router	Router	router	internet router;wifi router;network router
tech-connectivity	wifi-service	Wi-Fi	wifi	wifi service;wireless internet;home wifi
tech-connectivity	data-cable	Data cable	cable	data cable;charging cable;network cable
tech-connectivity	power-plug	Power plug	plug	power plug;travel adapter;wall charger
tech-connectivity	battery-charge	Battery charging	battery-charging	battery charging;charger pack;rechargeable battery
tech-connectivity	laptop	Laptop	laptop	laptop computer;notebook computer;new laptop
tech-connectivity	computer-monitor	Monitor	monitor	computer monitor;display screen;desktop display
tech-connectivity	tablet-device	Tablet	tablet	tablet device;tablet computer;new tablet
tech-connectivity	keyboard	Keyboard	keyboard	computer keyboard;wireless keyboard;typing board
tech-connectivity	computer-mouse	Computer mouse	mouse	computer mouse;wireless mouse;mouse device
tech-connectivity	webcam	Webcam	webcam	web camera;video call camera;computer webcam
tech-connectivity	scanner	Scanner	scan	document scanner;scan service;image scanner
tech-connectivity	joystick	Joystick	joystick	joystick controller;flight controller;gaming joystick
tech-connectivity	phone-charging	Phone charging	smartphone-charging	phone charging;mobile charger;fast charger
tech-connectivity	cloud-storage	Cloud storage	cloud	cloud storage;online backup;cloud plan
tech-connectivity	server-hosting	Server hosting	server	server hosting;web server;hosting plan
tech-connectivity	hard-drive	Hard drive	hard-drive	hard drive;external drive;storage disk
tech-connectivity	usb-device	USB device	usb	usb device;usb adapter;flash drive
tech-connectivity	bluetooth-device	Bluetooth	bluetooth	bluetooth device;wireless accessory;bluetooth adapter
tech-connectivity	satellite-service	Satellite service	satellite	satellite service;satellite internet;satellite plan
tech-connectivity	antenna	Antenna	antenna	tv antenna;signal antenna;aerial installation
tech-connectivity	computer-chip	Computer chip	microchip	computer chip;processor chip;electronic component
money-admin	wallet	Wallet	wallet	wallet purchase;digital wallet;money wallet
money-admin	cash-note	Cash note	banknote	bank note;paper money;cash note
money-admin	credit-card	Credit card	credit-card	credit card;card payment;new bank card
money-admin	coins	Coins	coins	loose change;coin payment;bag of coins
money-admin	bank-branch	Bank branch	landmark	bank branch;financial institution;bank visit
money-admin	cent-fee	Small fee	badge-cent	small fee;cent charge;minor charge
money-admin	dollar-payment	Dollar payment	circle-dollar-sign	dollar payment;usd charge;dollar fee
money-admin	receipt-record	Receipt record	receipt-text	receipt record;itemised receipt;receipt copy
money-admin	financial-document	Financial document	file-text	financial document;account statement;finance file
money-admin	cash-giving	Cash giving	hand-coins	cash handover;money contribution;cash support
money-admin	currency-exchange	Currency exchange	arrow-left-right	currency exchange;money exchange;foreign exchange
money-admin	recurring-payment	Recurring payment	repeat-2	recurring payment;repeat charge;automatic payment
money-admin	percentage-fee	Percentage fee	percent	percentage fee;rate charge;commission percentage
money-admin	investment-growth	Investment growth	chart-no-axes-column-increasing	investment growth;portfolio gain;market return
money-admin	savings	Savings	piggy-bank	savings deposit;savings pot;rainy day fund
money-admin	safe-deposit	Safe deposit	vault	safe deposit;bank vault;secure storage
money-admin	discount-rate	Discount rate	badge-percent	discount rate;percentage discount;promo rate
money-admin	pound-payment	Pound payment	circle-pound-sterling	pound payment;gbp charge;sterling fee
money-admin	euro-payment	Euro payment	circle-euro	euro payment;eur charge;euro fee
money-admin	yen-payment	Yen payment	japanese-yen	yen payment;jpy charge;yen fee
money-admin	crypto-payment	Crypto payment	bitcoin	crypto payment;bitcoin purchase;digital currency
money-admin	dollar-fee	Dollar fee	badge-dollar-sign	dollar processing;usd service fee;dollar charge
money-admin	qr-payment	QR payment	scan-qr-code	qr payment;scan to pay;qr code charge
money-admin	signature-fee	Signature fee	signature	signature fee;document signing;signing service
money-admin	approved-file	Approved file	file-check	approved document;file verification;document approval
gifts-giving	wrapped-gift	Wrapped gift	gift	wrapped gift;gift box;present box
gifts-giving	community-support	Community support	heart-handshake	community support;mutual aid;support pledge
gifts-giving	care-gift	Care gift	hand-heart	care package;kindness gift;support gift
gifts-giving	celebration-cake	Celebration cake	cake	celebration cake;birthday cake order;occasion cake
gifts-giving	flower-gift	Flower gift	flower	flower gift;gift bouquet;celebration flowers
gifts-giving	award-ribbon	Award ribbon	ribbon	award ribbon;prize ribbon;ceremony ribbon
gifts-giving	community-award	Community award	award	community award;recognition gift;honour prize
gifts-giving	holiday-tree	Holiday tree	tree-pine	holiday tree;seasonal tree;festive tree
gifts-giving	animal-charity	Animal charity	paw-print	animal charity;pet rescue gift;shelter donation
gifts-giving	environmental-gift	Environmental cause	leaf	environmental cause;green donation;conservation gift
gifts-giving	group-fund	Group fund	users	group fund;community collection;team contribution
gifts-giving	helping-hand	Helping hand	hand-helping	helping hand;practical support;volunteer help
gifts-giving	heart-calendar	Memorial date	calendar-heart	memorial date;care anniversary;remembrance gift
gifts-giving	warmth-donation	Warmth donation	flame-kindling	warmth donation;heating support;firewood gift
gifts-giving	blood-donation	Blood donation	droplet	blood donation;donor support;blood drive gift
gifts-giving	charity-partnership	Charity partnership	handshake	charity partnership;nonprofit support;cause partnership
gifts-giving	housing-support	Housing support	house-heart	housing support;shelter fund;home assistance
gifts-giving	cause-flag	Cause campaign	flag	cause campaign;awareness flag;campaign contribution
gifts-giving	book-donation	Book donation	book-heart	book donation;literacy gift;library contribution
gifts-giving	heart-support	Heart support	heart-plus	heart support;care contribution;health charity
gifts-giving	planting-fund	Planting fund	sprout	planting fund;tree planting;garden donation
gifts-giving	wildlife-fund	Wildlife fund	bird	wildlife fund;bird rescue;nature charity
gifts-giving	dog-rescue	Dog rescue	dog	dog rescue;kennel donation;canine charity
gifts-giving	cat-rescue	Cat rescue	cat	cat rescue;cattery donation;feline charity
gifts-giving	emergency-relief	Emergency relief	life-buoy	emergency relief;disaster support;crisis fund
